item_title,image_url,link
1950 Australian Grand Prix,"The 1950 Australian Grand Prix was a Formula Libre motor race held at a street circuit in Nuriootpa, South Australia on 2 January 1950. The race was held over 34 laps of the 7.0 kilometre circuit for a race distance of 164 kilometres.It was the fifteenth Australian Grand Prix and featured a handicap start which saw the slowest cars starting ahead of the faster cars at timed intervals.",http://en.wikipedia.org/wiki/1950_Australian_Grand_Prix
2012 Italian Grand Prix,"The 2012 Italian Grand Prix (formally known as the Formula 1 Gran Premio Santander d'Italia 2012) was a Formula One motor race that took place at the Autodromo Nazionale Monza in Monza, Italy on 9 September 2012. It was the thirteenth race of the 2012 season, and the final race in Europe before the teams return to Asia for the Singapore Grand Prix.Lewis Hamilton qualified on pole, ahead of team-mate Jenson Button.",http://en.wikipedia.org/wiki/2012_Italian_Grand_Prix
Targa Florio,"The Targa Florio was an open road endurance automobile race held in the mountains of Sicily near Palermo. Founded in 1906, it was the oldest sports car racing event, part of the World Sportscar Championship between 1955 and 1973.",http://en.wikipedia.org/wiki/Targa_Florio
2004 Spanish Formula Three season,The 2004 Spanish Formula Three season was the fourth Spanish Formula Three season. It began on 25 April at Albacete and ended on 14 November at Circuit de Catalunya in Montmeló after fourteen races. Borja García was crowned series champion.,http://en.wikipedia.org/wiki/2004_Spanish_Formula_Three_season
1996 International Touring Car Championship season,"The 1996 International Touring Car Championship season was the second season of its type. It was for FIA Class 1 Touring Cars and it was contested by Mercedes-Benz, Alfa Romeo and Opel. It was formed of the Deutsche Tourenwagen Meisterschaft series that ran both a short German & International-based series in 1995. These were fused together to form the International Touring Car Championship (abbreviated to ITC).",http://en.wikipedia.org/wiki/1996_International_Touring_Car_Championship_season
2012 F1600 Championship Series season,The 2012 F1600 Championship Series season was the second season of the F1600 Championship Series. Matias Köykkä won the championship in the last race of the season.,http://en.wikipedia.org/wiki/2012_F1600_Championship_Series_season
2012 Porsche Carrera Cup Great Britain,"The 2012 Porsche Carrera Cup Great Britain is a multi-event, one make motor racing championship held across England and Scotland. The championship features a mix of professional motor racing teams and privately funded drivers, competing in Porsche 911 GT3 cars that conform to the technical regulations for the championship.",http://en.wikipedia.org/wiki/2012_Porsche_Carrera_Cup_Great_Britain
2010 Ginetta G50 Cup season,The 2010 Michelin Ginetta G50 Cup was the third Ginetta G50 Cup.,http://en.wikipedia.org/wiki/2010_Ginetta_G50_Cup_season
Buk missile system,"The Buk missile system (Russian: ""Бук""; beech, /bʊk/ BOOK) is a family of self-propelled, medium-range surface-to-air missile systems developed by the former Soviet Union and Russian Federation and designed to engage cruise missiles, smart bombs, fixed- and rotary-wing aircraft, and unmanned aerial vehicles.The Buk missile system is the successor to the NIIP/Vympel 2K12 Kub (NATO reporting name SA-6 ""Gainful"").",http://en.wikipedia.org/wiki/Buk_missile_system
Nokia E66,"The Nokia E66 is a slider smartphone in the Nokia Eseries range, a S60 platform third edition device with slide action targeting business users. It is a successor to the Nokia E65 with which it shares many features.E66 has similar features to the Nokia E71 handset, but lacks sufficient battery capacity for all day use and does not have the full QWERTY, however the E66 is smaller in size and weighs less.",http://en.wikipedia.org/wiki/Nokia_E66
2S7 Pion,"The 2S7 Pion (""peony"") or Malka is a Soviet self-propelled gun. ""2S7"" is its GRAU designation. It was identified for the first time in 1975 in the Soviet Army and so was called M-1975 by NATO (the 2S4 Tyulpan also received the M-1975 designation), whereas its official designation is SO-203 (2S7). Its design is based on a T-80 chassis carrying an externally mounted 2A44 203 mm gun on the hull rear.It takes the crew of 7 men 5–6 minutes to come into action and 3–5 minutes to come out of action.",http://en.wikipedia.org/wiki/2S7_Pion
39M Csaba,The 39M Csaba was an armoured scout car produced for the Royal Hungarian Army during World War II.,http://en.wikipedia.org/wiki/39M_Csaba
7.2-Inch Demolition Rocket,"The 7.2-Inch Demolition Rocket, also known as the T37, was a 7.2-inch (180 mm) rocket developed and used by the United States military during World War II. Derived from the ""Mousetrap"" anti-submarine rocket, it was intended for use in demolishing concrete bunkers and fortifications, and saw use from August 1944.",http://en.wikipedia.org/wiki/7.2-Inch_Demolition_Rocket
1220 Crocus,"1220 Crocus (1932 CU) is a main-belt asteroid discovered on February 11, 1932 by Reinmuth, K. at Heidelberg.Based on lightcurve studies, Crocus has a rotation period of 737 hours, but this figure is based on less than full coverage, so that the period may be wrong by 30 percent or so.",http://en.wikipedia.org/wiki/1220_Crocus
12223 Hoskin,12223 Hoskin (1983 TX) is a main-belt asteroid.,http://en.wikipedia.org/wiki/12223_Hoskin
12279 Laon,"12279 Laon (1990 WP4) is a main-belt asteroid discovered on November 16, 1990 by E. W. Elst at the European Southern Observatory.",http://en.wikipedia.org/wiki/12279_Laon
12280 Reims,"12280 Reims (1990 WS4) is a main-belt asteroid discovered on November 16, 1990 by E. W. Elst at the European Southern Observatory.",http://en.wikipedia.org/wiki/12280_Reims
1284 Latvia,"1284 Latvia (1933 OP) is a main-belt asteroid discovered on July 27, 1933 by K. Reinmuth at Heidelberg. It is named after the Republic of Latvia.",http://en.wikipedia.org/wiki/1284_Latvia
"Solar eclipse of January 25, 1982","A partial solar eclipse occurred on January 25, 1982. A solar eclipse occurs when the Moon passes between Earth and the Sun, thereby totally or partly obscuring the image of the Sun for a viewer on Earth. A partial solar eclipse occurs in the polar regions of the Earth when the center of the Moon's shadow misses the Earth.","http://en.wikipedia.org/wiki/Solar_eclipse_of_January_25,_1982"
"Solar eclipse of January 6, 2019","A partial solar eclipse will occur on January 6, 2019.","http://en.wikipedia.org/wiki/Solar_eclipse_of_January_6,_2019"
"Solar eclipse of August 22, 1979","An annular solar eclipse occurred on August 22, 1979. A solar eclipse occurs when the Moon passes between Earth and the Sun, thereby totally or partly obscuring the image of the Sun for a viewer on Earth. An annular solar eclipse occurs when the Moon's apparent diameter is smaller than the Sun's, blocking most of the Sun's light and causing the Sun to look like an annulus (ring). An annular eclipse appears as a partial eclipse over a region of the Earth thousands of kilometres wide.","http://en.wikipedia.org/wiki/Solar_eclipse_of_August_22,_1979"
"Solar eclipse of June 13, 2094","A partial solar eclipse will occur on June 13, 2094. A solar eclipse occurs when the Moon passes between Earth and the Sun, thereby totally or partly obscuring the image of the Sun for a viewer on Earth. A partial solar eclipse occurs in the polar regions of the Earth when the center of the Moon's shadow misses the Earth.","http://en.wikipedia.org/wiki/Solar_eclipse_of_June_13,_2094"
"Solar eclipse of September 26, 2117","A total solar eclipse will occur on September 26, 2117. A solar eclipse occurs when the Moon passes between Earth and the Sun, thereby totally or partly obscuring the image of the Sun for a viewer on Earth. A total solar eclipse occurs when the Moon's apparent diameter is larger than the Sun, blocking all direct sunlight, turning day into darkness.","http://en.wikipedia.org/wiki/Solar_eclipse_of_September_26,_2117"
Cyberspace (role-playing game),"Cyberspace is a cyberpunk role-playing game published by Iron Crown Enterprises and using a somewhat modified version of their Spacemaster ruleset. The primary setting of Cyberspace is the urban sprawl around San Francisco in the year 2090.The game was out of print and unavailable for a number of years around the turn of the millennium, but is now available, with all of its supplements, from the publisher's homepage in a PDF format.",http://en.wikipedia.org/wiki/Cyberspace_(role-playing_game)
Get Out (board game),"Get Out is one of the earliest board games published by Cheapass Games. Players are trying to move out of their parents' basements. They roll dice and move around the board, trying to collect jobs and apartments.The board for Get Out is similar in concept to the board used for Monopoly, though there are three rings on the board.",http://en.wikipedia.org/wiki/Get_Out_(board_game)
Headache (game),"Headache is a board game similar to Trouble in which the object is to land a playing piece on top of all opponents' pieces (known as ""cones""). The game is distinct from Trouble in that there is no finish the player must reach. Play moves in circles, until only one player has cones remaining on the board, being declared the winner.",http://en.wikipedia.org/wiki/Headache_(game)
Illinois Intercollegiate Athletic Conference,The Illinois Intercollegiate Athletic Conference (IIAC) was a college athletic conference that existed from 1908 to 1970 in the United States.,http://en.wikipedia.org/wiki/Illinois_Intercollegiate_Athletic_Conference
Junta (game),"Junta is a board game designed by Vincent Tsao originally published by Capri in 1975, and later published, as of 1985, by West End Games. Players compete as the corrupt power elite families of a fictional parody of a stereotypical banana republic (specifically Republica de los Bananas) trying to get as much money as possible into their Swiss bank accounts before the foreign aid money runs out.",http://en.wikipedia.org/wiki/Junta_(game)
